ott_id,key,treeID,correctedID,genusKey,familyKey,speciesKey,scientificNameGBIF,scientifcNameGBIF_genera,Order,Suborder,Infraorder,Family,Genus,Scientific name,Range centroid of latitude,Body mass,Mean clutch size,Freshwater,Marine,Terrestrial,Minimum altitude,Maximum altitude,Migrant,Extent of Occurrence (breeding/resident),Diet,Nocturnal,Forest,GenLength(modeled),Survival,Age at first breeding,Max longevity,chickPC1,hatchlingPC1,BMRnames,BMR.species.OTU,BMR.species.Metabolic.rate.Ryan,BMR.species.Body.Mass,BMR.species.bmr.sd,BMR.species.n.sd,BMR.species.se.sd,BMR.species.cov.sd,BMR.species.sd.bmr.est,BMR.species.sd.mass.est,BMR.species.se.bmr.est.1,BMR.species.se.mass.est.1,BMR.species.se.bmr.est.10,BMR.species.se.mass.est.10,BMR.species.se.bmr.est.20,BMR.species.se.mass.est.20,BMR.species.key
829513,Dromaius novaehollandiae,Dromaius_novaehollandiae_1,Dromaius_novaehollandiae_1,2495131,5239,2495134,Dromaius novaehollandiae,Dromaius,STRUTHIONIFORMES,STRUTHIONIFORMES,STRUTHIONIFORMES,Casuariidae,Dromaius,Dromaius novaehollandiae,-28.09,34093.25,9.5,0,0,y,0,1600,Nomadic,8800000,Omnivore,0,0,7.631266788,NA,2,30,2.332707179,3.017501096,Dromaius novaehollandiae,Dromaius novaehollandiae,46.84075,38612.5,4.77403143318098,2,3.37575,0.000123639532099216,79.8054085769146,17102.8820303583,79.8054085769146,17102.8820303583,25.2366860703387,5408.40617690972,17.8450318550126,3824.32068310407,Dromaius novaehollandiae
683056,Elaenia flavogaster,Elaenia_flavogaster_1,Elaenia_flavogaster_1,2483089,5291,5229606,Elaenia flavogaster,Elaenia,PASSERIFORMES,TYRANNI,NEW WORLD SUBOSCINES,Tyrannidae,Elaenia,Elaenia flavogaster,-6.92,24.8,2,1,0,y,0,2500,Not a Migrant,19400000,Omnivore,0,0,3.564263024,NA,NA,NA,-1.900016091,-1.20660664,Elaenia pallatangae,Elaenia pallatangae,0.23,15.7,NA,1,NA,NA,0.0403026863399583,1.60313253727671,0.0403026863399583,1.60313253727671,0.0127448284657624,0.506955020891918,0.0090119546331999,0.358471333029243,Elaenia flavogaster
153874,Elanus leucurus,Elanus_leucurus_1,Elanus_leucurus_1,2480366,2877,2480367,Elanus leucurus,Elanus,ACCIPITRIFORMES,ACCIPITRIFORMES,ACCIPITRIFORMES,Accipitridae,Elanus,Elanus leucurus,-8.77,346,4,1,1,y,0,1500,Full Migrant,42700000,VertFishScav,0,0,4.286761197,NA,2,6,-0.578863373,0.659994262,Elanus caeruleus,Elanus caeruleus,0.839454167,242.5,NA,1,NA,NA,0.255950321201382,41.4196696992017,0.255950321201382,41.4196696992017,0.0809385982848052,13.0980496181339,0.0572322317069196,9.26171970530032,Elanus leucurus
940481,Euchrepomis callinota,Terenura_callinota_1,Euchrepomis_callinota_1,2490011,5286,2490016,Euchrepomis callinota,Euchrepomis,PASSERIFORMES,TYRANNI,NEW WORLD SUBOSCINES,Thamnophilidae,Euchrepomis,Euchrepomis callinota,-1.98,7,NA,0,0,y,600,2400,Not a Migrant,5150000,Invertebrate,0,1,2.115957671,NA,NA,NA,-2.006493377,-1.594162859,Thamnomanes ardesiacus,Thamnomanes ardesiacus,0.27,19.3,NA,1,NA,NA,0.0506712806146109,2.0486950954323,0.0506712806146109,2.0486950954323,0.0160236658699707,0.647854273278209,0.0113304427961237,0.458102149855704,Euchrepomis callinota
292461,Eudromia elegans,Eudromia_elegans_1,Eudromia_elegans_1,2477479,9353,5228704,Eudromia elegans,Eudromia,STRUTHIONIFORMES,STRUTHIONIFORMES,STRUTHIONIFORMES,Tinamidae,Eudromia,Eudromia elegans,-37.299999999999997,702.9,5.5,0,0,y,0,2500,Not a Migrant,2140000,PlantSeed,0,0,4.964601192,NA,NA,NA,2.332707179,3.017501096,Eudromia elegans,Eudromia elegans,NA,702.9,NA,NA,NA,NA,NA,146.639438489466,NA,146.639438489466,NA,46.3714620434874,NA,32.7895752644845,Eudromia elegans
184248,Eurylaimus ochromalus,Eurylaimus_ochromalus_1,Eurylaimus_ochromalus_1,2484547,5707,2484548,Eurylaimus ochromalus,Eurylaimus,PASSERIFORMES,TYRANNI,OLD WORLD SUBOSCINES,Eurylaimidae,Eurylaimus,Eurylaimus ochromalus,1.53,33.299999999999997,2.5,0,0,y,0,1220,Not a Migrant,4200000,Invertebrate,0,1,3.230183611,NA,NA,NA,-2.11011913,-1.594162859,Cymbirhynchus macrorhynchos,Cymbirhynchus macrorhynchos,0.430475,52.71,NA,1,NA,NA,0.0986317018068212,6.75799525540887,0.0986317018068212,6.75799525540887,0.03119008272081,2.13706574237034,0.0220547189976541,1.51113367827153,Eurylaimus ochromalus
86680,Eurypyga helias,Eurypyga_helias_1,Eurypyga_helias_1,2474331,5710,2474332,Eurypyga helias,Eurypyga,EURYPYGIFORMES,EURYPYGIFORMES,EURYPYGIFORMES,Eurypygidae,Eurypyga,Eurypyga helias,-3.86,210,2,1,0,y,0,1830,Not a Migrant,11900000,VertFishScav,0,1,5.084054302,NA,NA,15,-0.578863373,0.659994262,Eurypyga helias,Eurypyga helias,NA,210,NA,NA,NA,NA,NA,34.9115687758407,NA,34.9115687758407,NA,11.0400074021273,NA,7.80646409839389,Eurypyga helias
964519,Falco sparverius,Falco_sparverius_1,Falco_sparverius_1,2480996,5240,9685907,Falco sparverius,Falco,FALCONIFORMES,FALCONIFORMES,FALCONIFORMES,Falconidae,Falco,Falco sparverius,21.83,114.61,5,1,0,y,0,4300,Full Migrant,78000000,Invertebrate,0,0,3.029874828,53.35,1,14.67,-0.734302003,-0.431494201,Falco sparverius,Falco sparverius,1.13,111.6,NA,1,NA,NA,0.391256300722718,16.4745830716911,0.391256300722718,16.4745830716911,0.123726105917557,5.20972060081969,0.0874875685041098,3.68382876492686,Falco sparverius
330000,Fregata magnificens,Fregata_magnificens_1,Fregata_magnificens_1,2480184,5241,2480189,Fregata magnificens,Fregata,SULIFORMES,SULIFORMES,SULIFORMES,Fregatidae,Fregata,Fregata magnificens,-14.03,1490.52,1,0,1,y,0,0,Not a Migrant,32700000,VertFishScav,0,1,12.58221354,NA,6,14.5,-1.695616117,-1.594162859,Fregata minor,Fregata minor,7.824074074,1274.67,NA,1,NA,NA,6.19926383468262,297.398136628777,6.19926383468262,297.398136628777,1.96037935339066,94.0455483636886,1.38619753448064,66.5002449883716,Fregata magnificens
828694,Fringilla coelebs,Fringilla_coelebs_1,Fringilla_coelebs_1,2494421,5242,2494422,Fringilla coelebs,Fringilla,PASSERIFORMES,PASSERI,PASSEROID OSCINES,Fringillidae,Fringilla,Fringilla coelebs,52.91,23.81,4.5,0,0,y,0,0,Full Migrant,26900000,Invertebrate,0,0,4.980850384,59.1,1,29,-2.152371229,-0.81905042,Fringilla coelebs,Fringilla coelebs,0.373,21,NA,1,NA,NA,0.0803803715436802,2.26479845402228,0.0803803715436802,2.26479845402228,0.0254185053248614,0.716192155593854,0.0179735974828359,0.506424329853025,Fringilla coelebs
